"Year_Month","Branch","avg_rating","Year","Month"
"2010-10","Disneyland_California",4.6,2010,10
"2010-11","Disneyland_California",5,2010,11
"2010-12","Disneyland_California",4.66666666666667,2010,12
"2010-5","Disneyland_California",5,2010,5
"2010-6","Disneyland_California",5,2010,6
"2010-7","Disneyland_California",5,2010,7
"2010-8","Disneyland_California",3,2010,8
"2010-9","Disneyland_California",5,2010,9
"2011-1","Disneyland_California",4.77777777777778,2011,1
"2011-10","Disneyland_California",4.45,2011,10
"2011-11","Disneyland_California",4.68571428571429,2011,11
"2011-12","Disneyland_California",4.59493670886076,2011,12
"2011-2","Disneyland_California",4.33333333333333,2011,2
"2011-3","Disneyland_California",4.75,2011,3
"2011-4","Disneyland_California",4.53333333333333,2011,4
"2011-5","Disneyland_California",4.5,2011,5
"2011-6","Disneyland_California",4.82352941176471,2011,6
"2011-7","Disneyland_California",4.15,2011,7
"2011-8","Disneyland_California",4.56666666666667,2011,8
"2011-9","Disneyland_California",4.75,2011,9
"2012-1","Disneyland_California",4.47916666666667,2012,1
"2012-10","Disneyland_California",4.66666666666667,2012,10
"2012-11","Disneyland_California",4.33333333333333,2012,11
"2012-12","Disneyland_California",4.35294117647059,2012,12
"2012-2","Disneyland_California",4.66666666666667,2012,2
"2012-3","Disneyland_California",4.7,2012,3
"2012-4","Disneyland_California",4.64912280701754,2012,4
"2012-5","Disneyland_California",4.57534246575342,2012,5
"2012-6","Disneyland_California",4.43333333333333,2012,6
"2012-7","Disneyland_California",4.53030303030303,2012,7
"2012-8","Disneyland_California",4.48333333333333,2012,8
"2012-9","Disneyland_California",4.64583333333333,2012,9
"2013-1","Disneyland_California",4.57692307692308,2013,1
"2013-10","Disneyland_California",4.51041666666667,2013,10
"2013-11","Disneyland_California",4.51020408163265,2013,11
"2013-12","Disneyland_California",4.2258064516129,2013,12
"2013-2","Disneyland_California",4.30232558139535,2013,2
"2013-3","Disneyland_California",4.57575757575758,2013,3
"2013-4","Disneyland_California",4.5,2013,4
"2013-5","Disneyland_California",4.32432432432432,2013,5
"2013-6","Disneyland_California",4.5625,2013,6
"2013-7","Disneyland_California",4.42222222222222,2013,7
"2013-8","Disneyland_California",4.5959595959596,2013,8
"2013-9","Disneyland_California",4.59405940594059,2013,9
"2014-1","Disneyland_California",4.51612903225806,2014,1
"2014-10","Disneyland_California",4.43298969072165,2014,10
"2014-11","Disneyland_California",4.68055555555556,2014,11
"2014-12","Disneyland_California",4.40776699029126,2014,12
"2014-2","Disneyland_California",4.21951219512195,2014,2
"2014-3","Disneyland_California",4.37931034482759,2014,3
"2014-4","Disneyland_California",4.39189189189189,2014,4
"2014-5","Disneyland_California",4.15476190476191,2014,5
"2014-6","Disneyland_California",4.55555555555556,2014,6
"2014-7","Disneyland_California",4.5,2014,7
"2014-8","Disneyland_California",4.58823529411765,2014,8
"2014-9","Disneyland_California",4.66666666666667,2014,9
"2015-1","Disneyland_California",4.48333333333333,2015,1
"2015-10","Disneyland_California",4.27472527472527,2015,10
"2015-11","Disneyland_California",4.65822784810127,2015,11
"2015-12","Disneyland_California",4.30097087378641,2015,12
"2015-2","Disneyland_California",4.44067796610169,2015,2
"2015-3","Disneyland_California",4.41333333333333,2015,3
"2015-4","Disneyland_California",4.625,2015,4
"2015-5","Disneyland_California",4.45631067961165,2015,5
"2015-6","Disneyland_California",4.36274509803922,2015,6
"2015-7","Disneyland_California",4.34645669291339,2015,7
"2015-8","Disneyland_California",4.49677419354839,2015,8
"2015-9","Disneyland_California",4.53731343283582,2015,9
"2016-1","Disneyland_California",4.28767123287671,2016,1
"2016-10","Disneyland_California",4.1588785046729,2016,10
"2016-11","Disneyland_California",4.64788732394366,2016,11
"2016-12","Disneyland_California",4.25609756097561,2016,12
"2016-2","Disneyland_California",4.40983606557377,2016,2
"2016-3","Disneyland_California",4.17142857142857,2016,3
"2016-4","Disneyland_California",4.28735632183908,2016,4
"2016-5","Disneyland_California",4.43037974683544,2016,5
"2016-6","Disneyland_California",4.51315789473684,2016,6
"2016-7","Disneyland_California",4.41463414634146,2016,7
"2016-8","Disneyland_California",4.39090909090909,2016,8
"2016-9","Disneyland_California",4.5982905982906,2016,9
"2017-1","Disneyland_California",4.2972972972973,2017,1
"2017-10","Disneyland_California",4.2967032967033,2017,10
"2017-11","Disneyland_California",4.26086956521739,2017,11
"2017-12","Disneyland_California",4.38461538461539,2017,12
"2017-2","Disneyland_California",4.20754716981132,2017,2
"2017-3","Disneyland_California",4.25,2017,3
"2017-4","Disneyland_California",4.41176470588235,2017,4
"2017-5","Disneyland_California",4.35294117647059,2017,5
"2017-6","Disneyland_California",4.35593220338983,2017,6
"2017-7","Disneyland_California",4.453125,2017,7
"2017-8","Disneyland_California",4.4375,2017,8
"2017-9","Disneyland_California",4.28813559322034,2017,9
"2018-1","Disneyland_California",4.1,2018,1
"2018-10","Disneyland_California",3.75,2018,10
"2018-11","Disneyland_California",4.14705882352941,2018,11
"2018-12","Disneyland_California",4.2972972972973,2018,12
"2018-2","Disneyland_California",4.44,2018,2
"2018-3","Disneyland_California",4.05,2018,3
"2018-4","Disneyland_California",4.32758620689655,2018,4
"2018-5","Disneyland_California",4.19607843137255,2018,5
"2018-6","Disneyland_California",4.37777777777778,2018,6
"2018-7","Disneyland_California",4.25675675675676,2018,7
"2018-8","Disneyland_California",4.40677966101695,2018,8
"2018-9","Disneyland_California",4.47826086956522,2018,9
"2019-1","Disneyland_California",4.125,2019,1
"2019-2","Disneyland_California",4.17391304347826,2019,2
"2019-3","Disneyland_California",4.17647058823529,2019,3
"2019-4","Disneyland_California",4.38888888888889,2019,4
"2019-5","Disneyland_California",4,2019,5
"2010-10","Disneyland_HongKong",4.5,2010,10
"2010-11","Disneyland_HongKong",3.66666666666667,2010,11
